track_title,artist_title,explicit,duration_ms,acousticness,danceability,energy,instrumentalness,key,liveliness,loudness,mode,speechiness,tempo,time_signature,valence,metric,billboard_hit
drugs or jesus,tim mcgraw,f,279933,0.303,0.498,0.6729999999999999,0.0000401,0.0,0.0943,-4.5889999999999995,1.0,0.0268,146.94299999999996,4.0,0.278,0.09745332658672559880,1.0
send the pain below,chevelle,f,252360,0.000281,0.46799999999999997,0.851,0.00483,11.0,0.0644,-3.617,1.0,0.0398,92.079,4.0,0.293,0.26466717602895172992,0.0
cherish,kool & the gang,f,290600,0.375,0.562,0.249,0.0,1.0,0.35200000000000004,-18.652,1.0,0.0253,95.28299999999999,4.0,0.31,2.68949686941325882421,1.0
cherish,kool & the gang,f,260600,0.349,0.613,0.485,0.00000105,1.0,0.1,-11.67,1.0,0.025,94.745,4.0,0.43799999999999994,2.68949686941325882421,1.0
cherish,kool & the gang,f,340133,0.4370000000000001,0.611,0.516,0.0,1.0,0.318,-11.315999999999999,1.0,0.0247,95.116,4.0,0.384,2.68949686941325882421,1.0
cherish,kool & the gang,f,238933,0.331,0.639,0.596,0.0,10.0,0.29600000000000004,-8.145,0.0,0.0225,95.186,4.0,0.4270000000000001,2.68949686941325882421,1.0
cherish,kool & the gang,f,239666,0.314,0.647,0.615,0.0,1.0,0.299,-7.641,1.0,0.0222,95.204,4.0,0.363,2.68949686941325882421,1.0
cherish,kool & the gang,f,340400,0.494,0.596,0.596,0.0,1.0,0.332,-8.484,1.0,0.0242,95.11200000000001,4.0,0.34700000000000003,2.68949686941325882421,1.0
cherish,kool & the gang,f,239626,0.348,0.62,0.527,0.0,1.0,0.331,-11.325999999999999,1.0,0.0231,95.21700000000001,4.0,0.401,2.68949686941325882421,1.0
cherish,kool & the gang,f,334760,0.525,0.375,0.53,0.00000765,1.0,0.6679999999999999,-9.271,1.0,0.0343,96.70200000000001,4.0,0.231,2.68949686941325882421,1.0
youngblood,5 seconds of summer,f,203417,0.0169,0.596,0.8540000000000001,0.0,7.0,0.124,-5.114,0.0,0.46299999999999997,120.274,4.0,0.152,2.03717859320514912196,0.0
